name,rankingPosition,priceLevel,category,rating,numberOfReviews,Address,City,postcode
Hopetoun Tea Rooms est. 1892,26,$$ - $$$,restaurant,4.5,2311,421 Bourke St Hopetoun Tea Rooms,Melbourne,3000
Da Guido La Pasta,2,$$ - $$$,restaurant,4.5,1095,130 Lygon St Carlton,Melbourne,3053
Foglia di Fico,3,$$ - $$$,restaurant,5.0,202,585 La Trobe St (Spencer St entrance),Melbourne,3000
Kazuki's,9,$$$$,restaurant,4.5,500,121 Lygon St Carlton,Melbourne,3053
Hochi Mama,17,$$ - $$$,restaurant,4.5,1469,35 Little Bourke St,Melbourne,3000
Sezar,18,$$ - $$$,restaurant,4.5,1024,6 Melbourne Pl,Melbourne,3000
The French Brasserie,19,$$$$,restaurant,4.5,721,2 Malthouse Lane,Melbourne,3000
The Railway Club Hotel Steakhouse,24,$$ - $$$,restaurant,4.5,680,107 Raglan St Port Melbourne,Melbourne,3207
Bistrot d'Orsay,29,$$ - $$$,restaurant,4.5,497,184 Collins St,Melbourne,3000
Da Guido 365,7,$$ - $$$,restaurant,4.5,524,365 Little Collins St,Melbourne,3000
Roule Galette Melbourne,8,$,restaurant,4.5,604,241 Flinders Lane Shop 1,Melbourne,3000
Eau De Vie,15,$$ - $$$,restaurant,4.5,814,1 Malthouse Lane,Melbourne,3000
Tipo 00,20,$$ - $$$,restaurant,4.5,823,361 Little Bourke St,Melbourne,3000
Ruyi Modern Chinese,25,$$ - $$$,restaurant,4.5,377,16 Liverpool St,Melbourne,3000
David's Master Pot (Elizabeth St - CBD),21,$$ - $$$,restaurant,5.0,140,462 Elizabeth St,Melbourne,3000
Longrain,28,$$ - $$$,restaurant,4.5,1172,44 Little Bourke St,Melbourne,3000
Straight Outta Saigon,13,$$ - $$$,restaurant,4.5,337,138 Russell Street Ground level,Melbourne,3000
Patricia Coffee Brewers,27,$,restaurant,4.5,212,493-495 Little Bourke St,Melbourne,3000
Coda,49,$$$$,restaurant,4.5,1150,141 Flinders Lane,Melbourne,3000
Bowery to Williamsburg,55,$$ - $$$,restaurant,4.5,322,16 Oliver Lane,Melbourne,3000
Rare Steakhouse Midtown,51,$$ - $$$,restaurant,4.5,344,12 Goldie Pl,Melbourne,3000
Betty’s Burgers & Concrete Co,44,$,restaurant,4.5,1215,97 Elizabeth St,Melbourne,3000
seamstress,36,$$ - $$$,restaurant,4.5,501,113 Lonsdale St,Melbourne,3000
Laksa King,61,$,restaurant,4.5,557,6-12 Pin Oak Cres Flemington,Melbourne,3031
Sud Food and Wine,56,$$ - $$$,restaurant,4.5,230,219 King St,Melbourne,3000
11 Inch Pizza,4,$,restaurant,4.5,324,Shop 7A 353 Little Collins St,Melbourne,3000
Operator 25,22,$$ - $$$,restaurant,4.5,447,25 Wills St,Melbourne,3000
Koko Black Chocolate,38,$$ - $$$,restaurant,4.5,558,52 Collins St,Melbourne,3000
Auction Rooms,57,$$ - $$$,restaurant,4.5,432,103-107 Errol St,Melbourne,3051
Tonka,58,$$$$,restaurant,4.5,817,20 Duckboard Pl,Melbourne,3000
Il Solito Posto,23,$$ - $$$,restaurant,4.5,989,113 Collins St via George Parade,Melbourne,3000
Geppetto Trattoria,5,$$ - $$$,restaurant,4.5,439,78A Wellington Pde,Melbourne,3002
Scopri,1,$$ - $$$,restaurant,5.0,1049,191 Nicholson St Carlton,Melbourne,3053
Railway Hotel,52,$$ - $$$,restaurant,4.5,267,280 Ferrars St,Melbourne,3205
Afternoon Tea at The Hotel Windsor,41,$$$$,restaurant,4.5,1508,111 Spring Street The Hotel Windsor,Melbourne,3000
Piccolo Mondo,47,$$ - $$$,restaurant,4.5,735,240 Lygon St Carlton,Melbourne,3053
1932 Cafe & Restaurant,50,$$ - $$$,restaurant,4.5,443,220 Collins St Manchester Unity Building,Melbourne,3000
+39 Pizzeria,48,$$ - $$$,restaurant,4.5,1232,362 Little Bourke St,Melbourne,3000
Red Spice Road,31,$$ - $$$,restaurant,4.5,1737,141 Queen St,Melbourne,3000
Straits Cafe Melbourne,75,$$ - $$$,restaurant,4.5,262,Rendezvous Hotel Melbourne 328 Flinders St,Melbourne,3000
Om Nom,83,$$$$,restaurant,4.0,545,187 Flinders Lane Adelphi Hotel,Melbourne,3000
Cicciolina,62,$$ - $$$,restaurant,4.5,375,130 Acland St,Melbourne,3182
Movida Bar de Tapas,72,$$ - $$$,restaurant,4.5,2760,1 Hosier Lane,Melbourne,3000
The Sherlock Holmes,64,$$ - $$$,restaurant,4.5,344,415 Collins St,Melbourne,3000
Rare Steakhouse Downtown,60,$$ - $$$,restaurant,4.5,516,42-44 King St,Melbourne,3000
Rice Paper Scissors,6,$$ - $$$,restaurant,4.5,2701,15 Hardware Lane,Melbourne,3000
Ganache Chocolate,87,$$ - $$$,restaurant,4.5,260,245 Collins St,Melbourne,3000
Flower Drum,42,$$$$,restaurant,4.5,1367,17 Market Lane,Melbourne,3000
Rare Steakhouse Uptown,40,$$ - $$$,restaurant,4.5,755,61 Little Collins St Shop 6,Melbourne,3000
Manchester Press,84,$$ - $$$,restaurant,4.5,500,8 Rankins Lane,Melbourne,3000
Caterina's Cucina E Bar,85,$$ - $$$,restaurant,5.0,111,221 Queen St,Melbourne,3000
Delhi Streets Indian Street Food,37,$,restaurant,4.5,262,22 Katherine Pl,Melbourne,3000
Amiconi,71,$$ - $$$,restaurant,4.5,181,359 Victoria St Locality is West Melbourne,Melbourne,3003
pastuso,78,$$ - $$$,restaurant,4.5,857,19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St,Melbourne,3000
Lucy Liu Kitchen and Bar,67,$$ - $$$,restaurant,4.5,1195,23 Oliver Lane,Melbourne,3000
Max Bar Restaurant,63,$$ - $$$,restaurant,4.0,1405,54 - 58 Hardware Lane,Melbourne,3000
San Telmo,66,$$ - $$$,restaurant,4.5,709,14 Meyers Pl,Melbourne,3000
Bamboo House Chinese Restaurant,90,$$ - $$$,restaurant,4.5,405,47 Little Bourke St,Melbourne,3000
Vue De Monde,33,$$$$,restaurant,4.5,2035,525 Collins St Rialto Building 55th Floor,Melbourne,3000
